Naam besluit;Publicatiedatum;Aandoening;ICD-10;Indicatie;Wikidata-Indicatie-URI;Behandeling;Geneesmiddel;Wikidata-geneesmiddel-URI;RxNorm;Samenvatting;PDF_link
Pakketadvies cipaglucosidase alfa (Pombiliti) + miglustat (Opfolda) - Pompe;2024-07-30;Ziekte van Pompe;K51.9;Combinatietherapie voor Pompe-patiënten (zie rapport voor criteria);https://www.wikidata.org/wiki/Q1477;Enzymvervangende therapie in combinatie;Cipaglucosidase alfa (Pombiliti®) + miglustat (Opfolda®);https://www.wikidata.org/wiki/Q112862590;;Advies om vergoeding mogelijk te maken met voorwaarden en patiëntcriteria.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/07/30/pakketadvies-cipaglucosidase-alfa-pombiliti-in-combinatie-met-miglustat-opfolda/Advies%2B-%2Bvergoed%2Bcipaglucosidase%2Balfa%2B%28Pombiliti%C2%AE%29%2Bin%2Bcombinatie%2Bmet%2Bmiglustat%2B%28Opfolda%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bde%2Bziekte%2Bvan%2BPompe.pdf
Pakketadvies mirikizumab (Omvoh) - colitis ulcerosa;2024-08-07;Colitis ulcerosa;M45.A;Matige tot ernstige colitis ulcerosa bij patiënten niet adequaat beheerd met eerdere therapieën;https://www.wikidata.org/wiki/Q511097;Biologische therapie (IL-23 remmer);Mirikizumab (Omvoh®);https://www.wikidata.org/wiki/Q418476;2668384;"Advies om vergoeding te verlenen; minister heeft positieve beslissing per 2 oktober 2024.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/08/07/pakketadvies-mirikizumab-omvoh/Advies%2Bmirikizumab%2B%28Omvoh%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bcolitis%2Bulcerosa.pdf
Pakketadvies bimekizumab (Bimzelx) - artritis psoriatica;2024-08-19;Artritis psoriatica;L40.50;Behandeling van bepaalde patiënten met artritis psoriatica;https://www.wikidata.org/wiki/Q28867094;Biologische therapie (anti-IL-17/IL-23 targets);Bimekizumab (Bimzelx®);https://www.wikidata.org/wiki/Q112862603;;"Advies om vergoeding te verlenen; minister heeft besluit per 2 oktober 2024.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/08/19/pakketadvies-bimekizumab-bimzelx-voor-de-behandeling-van-artritis-psoriatica/Pakketadvies%2Bbimekizumab%2B%28Bimzelx%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bartritis%2Bpsoriatica.pdf
Pakketadvies bimekizumab (Bimzelx) - axiale spondyloartritis;2024-08-19;Axiale spondyloartritis;M45.A;Behandeling van axiale spondyloartritis bij indicatie beschreven in advies;https://www.wikidata.org/wiki/Q1419931;Biologische therapie;Bimekizumab (Bimzelx®);https://www.wikidata.org/wiki/Q111843409;;"Advies positief; vergoeding per 2 oktober 2024 is vermeld.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/08/19/pakketadvies-bimekizumab-bimzelx-voor-de-behandeling-van-axiale-spondyloartritis/Pakketadvies%2Bbimekizumab%2B%28Bimzelx%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Baxiale%2Bspondyloartritis.pdf
Pakketadvies olipudase alfa (Xenpozyme) - Niemann-Pick;2024-08-21;Ziekte van Niemann-Pick (ASMD);K51.9;Behandeling van patiënten met type A/B en type B;https://www.wikidata.org/wiki/Q356372;Enzymvervangende therapie (IV infusie);Olipudase alfa (Xenpozyme®);https://www.wikidata.org/wiki/Q112862594;2610407;"Advies om na prijsonderhandelingen te vergoeden; rapport bevat achtergrond, effectiviteit en budgetimpact.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/08/21/pakketadvies-olipudase-alfa-xenpozyme/Pakketadvies%2Bolipudase%2Balfa%2B%28Xenpozyme%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bde%2Bziekte%2Bvan%2BNiemann-Pick.pdf
Pakketadvies tebentafusp (Kimmtrak) - oogkanker;2024-08-29;Uveale (oog) kanker / uveal melanoma;K51.9;Behandeling van bepaalde patiënten met uveale melanoom (zie advies voor criteria);https://www.wikidata.org/wiki/Q268667;Immunotherapie / bispecific T-cell engager;Tebentafusp (Kimmtrak®);https://www.wikidata.org/wiki/Q110757700;;"Advies om vergoeding te verlenen voor de aangegeven groep; uitgebreide bijlagen en WAR-verslagen beschikbaar.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/08/29/pakketadvies-tebentafusp-kimmtrak/Pakketadvies%2Btebentafusp%2B%28Kimmtrak%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Boogkanker.pdf
Pakketadvies lebrikizumab (Ebglyss) - eczeem;2024-09-12;Matig tot ernstig eczeem (atopisch dermatitis);K51.9;Behandeling van volwassenen met matig tot ernstig eczeem die onvoldoende reageren op andere therapieën;https://www.wikidata.org/wiki/Q1517903;Monoklonaal antilichaam tegen IL-13;Lebrikizumab (Ebglyss®);https://www.wikidata.org/wiki/Q3829321;1735370;"Advies positief; minister besloot vergoeding per 18 december 2024 voor de genoemde patiënten.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/09/12/pakketadvies-sluisgeneesmiddel-lebrikizumab-ebglyss/Advies%2Blebrikizumab%2B%28Ebglyss%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bmatig%2Btot%2Bernstig%2Beczeem.pdf
Pakketadvies olaparib (Lynparza) - uitgezaaide prostaatkanker (niet vergoeden);2024-10-10;Uitgezaaide prostaatkanker;K51.9;"Behandeld voor uitgezaaide prostaatkanker; advies: niet vergoeden voor deze indicatie";https://www.wikidata.org/wiki/Q180614;PARP-remmer (systemisch);Olaparib (Lynparza®);https://www.wikidata.org/wiki/Q7083106;;Het Zorginstituut adviseert om olaparib niet te vergoeden voor de getoetste indicatie bij uitgezaaide prostaatkanker.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/10/10/pakketadvies-sluisgeneesmiddel-olaparib-lynparza-bij-prostaatkanker/Pakketadvies%2Bsluisgeneesmiddel%2Bolaparib%2B%28Lynparza%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Buitgezaaide%2Bprostaatkanker.pdf
Pakketadvies lisocabtagene maraleucel (Breyanzi) - (herziene/december);2024-12-16;Lymfeklierkanker;K51.9;Uitbreiding / herziene vergoeding voor bepaalde patiënten met lymfeklierkanker;https://www.wikidata.org/wiki/Q181257;CAR-T celtherapie;Lisocabtagene maraleucel (Breyanzi®);https://www.wikidata.org/wiki/Q105605102;;"Herziene advies/version met nadere specificatie; ministeriële besluitvorming vermeld in update.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/12/16/pakketadvies-sluisgeneesmiddel-lisocabtagene-maraleucel-breyanzi-voor-de-behandeling-van-lymfeklierkanker/Pakketadvies%2Blisocabtagene%2Bmaraleucel%2B%28Breyanzi%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Blymfeklierkanker.pdf
Pakketadvies bimekizumab (Bimzelx) - hidradenitis suppurativa;2024-12-16;Hidradenitis suppurativa (HS);L73.2;Behandeling van bepaalde HS-patiënten (zie rapport voor criteria);https://www.wikidata.org/wiki/Q208414;Biologische behandeling;Bimekizumab (Bimzelx®);https://www.wikidata.org/wiki/Q60785566;;"Advies positief; ministeriële update vermeld in rapport.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/12/16/pakketadvies-sluisgeneesmiddel-bimekizumab-bimzelx-bij-hs/Pakketadvies%2Bsluisgeneesmiddel%2Bbimekizumab%2B%28Bimzelx%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bhidradenitis%2Bsuppurativa%2B%28HS%29.pdf
Pakketadvies risankizumab (Skyrizi) - colitis ulcerosa;2024-12-19;Colitis ulcerosa;K51.9;Behandeling van bepaalde patiënten met matige tot ernstige colitis ulcerosa;https://www.wikidata.org/wiki/Q1477;Biologische therapie (IL-23 remmer);Risankizumab (Skyrizi®);https://www.wikidata.org/wiki/Q55231817;2166040;"Advies positief; minister besloot vergoeding (inwerkingtreding vermeld in update).";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/12/19/pakketadvies-sluisgeneesmiddel-risankizumab-skyrizi-voor-colitis-ulcerosa/Pakketadvies%2Brisankizumab%2B%28Skyrizi%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bcolitis%2Bulcerosa.pdf
